code_insee;val_ind;conc_pm10;conc_pm25;conc_no2;conc_so2;conc_o3;poll_resp;date_run;date_ech
28421;4;21.9;12.1;19.4;0.6;177.1;o3;15/06/2023;15/06/2023
18197;4;14.3;8.9;19.3;0.2;143.9;o3;15/06/2023;15/06/2023
37205;4;17.4;10.4;18.6;0.3;146;o3;15/06/2023;15/06/2023
28418;4;20.1;11.2;18.5;0.4;175.4;o3;15/06/2023;15/06/2023
41267;4;16.5;9.7;16.3;0.2;146.7;o3;15/06/2023;15/06/2023
18199;4;14.8;8.9;14.6;0.1;142.3;o3;15/06/2023;15/06/2023
41020;4;17.8;10.4;15.8;0.2;145.6;o3;15/06/2023;15/06/2023
37195;4;19.2;11.2;33.6;0.5;150.4;o3;15/06/2023;15/06/2023
18088;4;15.6;9;17.5;0.2;157.5;o3;15/06/2023;15/06/2023
45175;4;17.9;10.2;19.8;0.3;166.7;o3;15/06/2023;15/06/2023
28081;4;20.9;11.6;19.1;0.3;174.9;o3;15/06/2023;15/06/2023
37242;4;18.7;10.7;17.3;0.4;147.7;o3;15/06/2023;15/06/2023
36141;4;15.8;9.3;16;0.1;144.6;o3;15/06/2023;15/06/2023
18274;4;15.3;8.4;17.3;0.2;142.6;o3;15/06/2023;15/06/2023
45033;4;19.6;9.9;18.5;0.5;176.4;o3;15/06/2023;15/06/2023
45061;4;18.2;8.9;19.6;0.6;159.1;o3;15/06/2023;15/06/2023
37267;4;18;10.8;25.7;0.3;148.9;o3;15/06/2023;15/06/2023
45255;4;18.5;9;19.3;0.5;158.4;o3;15/06/2023;15/06/2023
45206;4;18.4;9.1;18.6;0.5;166.7;o3;15/06/2023;15/06/2023
36159;4;17.9;10.2;19.6;0.2;151.5;o3;15/06/2023;15/06/2023
28050;4;22.4;12.1;22;0.7;166.8;o3;15/06/2023;15/06/2023
18108;4;14.6;8.5;17;0.1;144.5;o3;15/06/2023;15/06/2023
45346;4;18.9;10.1;19.9;0.5;181.3;o3;15/06/2023;15/06/2023
37054;4;17.4;10.1;21.9;0.3;146.5;o3;15/06/2023;15/06/2023
36190;4;17.1;9.8;17.7;0.1;151.2;o3;15/06/2023;15/06/2023
37062;4;18.4;10.7;16.9;0.4;147.1;o3;15/06/2023;15/06/2023
45200;4;17.2;9.8;17.8;0.3;168.7;o3;15/06/2023;15/06/2023
37027;4;16.1;9.7;18.2;0.3;144.7;o3;15/06/2023;15/06/2023
18278;4;12.8;8.2;16.3;0.1;141.1;o3;15/06/2023;15/06/2023
18159;4;17.8;10.9;16.8;0.2;162.4;o3;15/06/2023;15/06/2023
36232;4;15.4;9.3;14.8;0.1;153.6;o3;15/06/2023;15/06/2023
18030;4;15.1;8.5;17.7;0.2;161.2;o3;15/06/2023;15/06/2023
